tweet,channel,apple,tesla,google,meta,input_ids,attention_mask,sentiment
Adidas Headphones Announces Self-Charging Wireless Headphones  https://t.co/QNYhRXgLdn  https://t.co/ZUSljkH69g,forbes,0,0,0,0,"[    0  9167 19926  3928 15797  3921 24744 12156    12 44932   154 16613
  3928 15797  1437  1205   640    90     4   876    73  1864  9873   298
   500  1000   571   574 26812  1437  1205   640    90     4   876    73
  1301  3048   462   267   330   725  4563   571     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]",1
"Apple’s Coolest New iPhone Feature Just Got Better, But There’s A Catch  https://t.co/7RI8eG2Y34  https://t.co/fnDXmIhCVK",forbes,1,0,0,0,"[    0 20770    17    27    29 12487   990   188  2733 31967  1801  8432
 11238     6   125   345    17    27    29    83 15568  1437  1205   640
    90     4   876    73   406  6934   398   242   534   176   975  3079
  1437  1205   640    90     4   876    73 42441 40190   119   100   298
 35433   530     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",2
The Hidden Power Of Samsung’s New Foldable Galaxy Z Phones  https://t.co/STxgIfreH4  https://t.co/Cj16jXTnod,forbes,0,0,0,0,"[    0   133 26234  3029  1525  3797    17    27    29   188 41303   868
  5325   525  4129  6909  1437  1205   640    90     4   876    73  4014
  1178   571  1106   241   725   306  1437  1205   640    90     4   876
    73   347   267  1549   267 29070   282  1630     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]",1
AI Ethics And The Geopolitical Wrestling Match Over Who Will Win The Race To Attain True AI  https://t.co/C7Ll3MfGjM  https://t.co/AIc8FmE0z3,forbes,0,0,0,0,"[    0 15238 20138   178    20  4177  1517 37149 17541  9018  2306  3394
  2290  5711    20  8989   598  7279  1851  7447  4687  1437  1205   640
    90     4   876    73   347   406   574   462   246   448   506   534
   267   448  1437  1205   640    90     4   876    73 15238   438   398
   597   119   717   288   329   246     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
Qualcomm AI Research Innovates 3D Perception Techniques  https://t.co/vX2flKIAfY  https://t.co/F1VbGL4UoI,forbes,0,0,0,0,"[    0 42170 24302  4687  1624 20067  1626   155   495 45679 45334  1437
  1205   640    90     4   876    73   705  1000   176  4825   530  2889
   506   975  1437  1205   640    90     4   876    73   597   134   846
   428 10020   306   791   139   100     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1]",1
Charge Enterprises Sees Red In Q2 But It’s Rosy To CEO  https://t.co/2fxgT0baSe  https://t.co/TsjN0DGTUX,forbes,0,0,0,0,"[    0 44136 15989  1608   293  1211    96  1209   176   125    85    17
    27    29  4168   219   598  1324  1437  1205   640    90     4   876
    73   176 44830   571   565   288  3178 14696  1437  1205   640    90
     4   876    73 38516   267   487   288   495 18266 29150     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1]",1
The New Economy Monetizes Consumer Impatience With Social Retail Marketing  https://t.co/HTgwklP0Vp  https://t.co/zusM2lrkfp,forbes,0,0,0,0,"[    0   133   188 15735  3385   594  7396  7653  5902 11632 11465   590
  3574  9362  9020  1437  1205   640    90     4   876    73 14469   571
   605 16291   510   288   846   642  1437  1205   640    90     4   876
    73   329   687   448   176 35265   330 46004     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1]",1
New Report Shows Apple Mulling Brilliant iPhone Design Upgrade  https://t.co/0glqqYHSRI  https://t.co/PRwNBc9Sfz,forbes,1,0,0,0,"[    0  4030  2872 28677  1257 10605   154 39769  2733  7438 41846  1437
  1205   640    90     4   876    73   288  7210 31341   975  6391  6934
  1437  1205   640    90     4   876    73  4454   605 20485   438   466
   104   506   329     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1]",2
Gmail And GPay Cookies Targeted By New Smartphone Ransomware Threat To 200+ Apps  https://t.co/NKg4BznfD9  https://t.co/zqDiEk0ubO,forbes,0,0,0,0,"[    0   534  6380   178 12571   857 41200  8506   196   870   188  5900
 17283   248 32387 10680 20324   598  1878  2744 29324  1437  1205   640
    90     4   876    73 39933   571   306   387 30083   506   495   466
  1437  1205   640    90     4   876    73   329  1343 29038   717   330
   288  1792   673     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",0
The Q Acoustics Concept 30 Speakers Are Packed With Innovation And They Sound Superb  https://t.co/IHgTn7BNSR  https://t.co/4z25iATKRe,forbes,0,0,0,0,"[    0   133  1209  6208 17778  2857 32253   389  8330  6650  3945   221
 10074   590 12469   178   252  8479  1582   428  1437  1205   640    90
     4   876    73   100   725   571   565   282   406   387  6949   500
  1437  1205   640    90     4   876    73   306   329  1244   118  2571
   530  9064     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",2
Lemonhaze Puts Both Veteran And Canna-Curious Execs On The Green  https://t.co/NkFVqYQqIz  https://t.co/mhSLTeJKGe,forbes,0,0,0,0,"[    0   574 34344   298 10129   221  7046  1868 18545   178   230  4057
    12   347 35367 20297    29   374    20  1628  1437  1205   640    90
     4   876    73   487   330   597   846  1343   975  1864  1343   100
   329  1437  1205   640    90     4   876    73   119   298 11160 16215
   863   530 20981     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1]",1
"Forget The New MacBook Pro, Apple Has Something Much Better  https://t.co/G1Lkbm1HX6  https://t.co/Mdf6CBDVs7",forbes,1,0,0,0,"[    0  2709  6460    20   188 20450  1698     6  1257  6233 13676  7840
 11238  1437  1205   640    90     4   876    73   534   134   574   330
 43531   134   725  1000   401  1437  1205   640    90     4   876    73
   448 36807   401   347 18941 13436   406     2]","[1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1 1
 1 1 1 1 1 1 1]",2
